 0 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- 
-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- 
-- -- -- -- -- -- -- -- 28 -- -- -- -- -- -- -- 
-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- 
-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- 
-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- 
-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- 
-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- 
Scan finished
Configure finished
BNO055 initialisation finished
X:-54 Y:-54 Z:944
X:-43 Y:-56 Z:948
X:-45 Y:-47 Z:934
X:-45 Y:-60 Z:946
X:-45 Y:-59 Z:942
X:-45 Y:-51 Z:947
X:-40 Y:-59 Z:952
X:-35 Y:-58 Z:951
X:-46 Y:-58 Z:946
X:-39 Y:-51 Z:946
X:-44 Y:-53 Z:939
X:-37 Y:-58 Z:944
X:-45 Y:-42 Z:948
X:-39 Y:-46 Z:940
X:-43 Y:-55 Z:949
X:-43 Y:-61 Z:942
X:-45 Y:-57 Z:941
X:-44 Y:-53 Z:951
X:-40 Y:-52 Z:937
X:-43 Y:-47 Z:940
X:-43 Y:-55 Z:958
X:-45 Y:-50 Z:954
X:-49 Y:-53 Z:940
X:-44 Y:-48 Z:947
X:-42 Y:-46 Z:939
X:-50 Y:-56 Z:934
X:-47 Y:-60 Z:946
X:-49 Y:-57 Z:943
X:-39 Y:-61 Z:946
X:-42 Y:-56 Z:944
X:-33 Y:-53 Z:947
X:-38 Y:-57 Z:954
X:-44 Y:-62 Z:949
X:-42 Y:-57 Z:946
X:-46 Y:-57 Z:949
X:-45 Y:-60 Z:952
X:-41 Y:-46 Z:947
X:-48 Y:-57 Z:945
X:-50 Y:-54 Z:944
X:-45 Y:-48 Z:947
X:-40 Y:-51 Z:936
X:-48 Y:-51 Z:951
X:-40 Y:-54 Z:946
X:-45 Y:-52 Z:935
X:-37 Y:-58 Z:943
X:-38 Y:-61 Z:939
X:-44 Y:-53 Z:938
X:-41 Y:-50 Z:939
X:-42 Y:-51 Z:949
X:-47 Y:-56 Z:942
X:-44 Y:-51 Z:939
X:-41 Y:-54 Z:946
X:-45 Y:-53 Z:936
X:-43 Y:-50 Z:951
X:-43 Y:-51 Z:955
X:-40 Y:-44 Z:940
X:-42 Y:-59 Z:941
X:-47 Y:-57 Z:950
X:-49 Y:-62 Z:943
X:-40 Y:-54 Z:948
X:-48 Y:-51 Z:944
X:-47 Y:-53 Z:938
X:-43 Y:-59 Z:945
X:-46 Y:-51 Z:943
X:-56 Y:-62 Z:950
X:-51 Y:-54 Z:944
X:-45 Y:-49 Z:953
X:-49 Y:-54 Z:956
X:-42 Y:-57 Z:952
X:-39 Y:-43 Z:946
X:-44 Y:-50 Z:944
X:-40 Y:-53 Z:950
X:-45 Y:-49 Z:938
X:-46 Y:-50 Z:943
X:-47 Y:-56 Z:952
X:-40 Y:-56 Z:962
X:-46 Y:-54 Z:952
X:-40 Y:-63 Z:946
X:-44 Y:-62 Z:947
X:-41 Y:-49 Z:946
X:-47 Y:-52 Z:943
X:-44 Y:-51 Z:949
X:-46 Y:-48 Z:944
X:-45 Y:-50 Z:943
X:-43 Y:-55 Z:946
X:-48 Y:-56 Z:954
X:-49 Y:-57 Z:936
X:-43 Y:-56 Z:947
X:-42 Y:-54 Z:951
X:-54 Y:-61 Z:941
X:-40 Y:-53 Z:943
X:-46 Y:-48 Z:942
X:-47 Y:-49 Z:951
X:-36 Y:-57 Z:946
X:-48 Y:-57 Z:943
X:-45 Y:-60 Z:946
X:-42 Y:-56 Z:946
X:-45 Y:-56 Z:947
X:-48 Y:-52 Z:942
X:-38 Y:-59 Z:938
X:-44 Y:-53 Z:943
X:-41 Y:-55 Z:943
X:-45 Y:-62 Z:942
X:-37 Y:-57 Z:942
X:-45 Y:-56 Z:944
X:-43 Y:-53 Z:943
X:-49 Y:-60 Z:944
X:-43 Y:-54 Z:947
X:-42 Y:-55 Z:951
X:-47 Y:-53 Z:950
X:-43 Y:-53 Z:952
X:-46 Y:-50 Z:945
X:-55 Y:-52 Z:948
X:-42 Y:-53 Z:936
X:-41 Y:-52 Z:947
X:-39 Y:-54 Z:935
X:-45 Y:-54 Z:944
X:-38 Y:-55 Z:942
X:-43 Y:-55 Z:945
X:-39 Y:-56 Z:957
X:-44 Y:-54 Z:936
X:-47 Y:-53 Z:941
X:-58 Y:-57 Z:951
X:-47 Y:-46 Z:944
X:-43 Y:-51 Z:945
X:-44 Y:-57 Z:947
X:-41 Y:-52 Z:944
X:-41 Y:-55 Z:943
X:-43 Y:-53 Z:944
X:-40 Y:-59 Z:953
X:-32 Y:-48 Z:952
X:-48 Y:-59 Z:947
X:-52 Y:-56 Z:939
X:-46 Y:-54 Z:950
